joueur,equipe,poste,date_naissance,club,goals
Zineddine Belaïd,Algérie,DF,20 March 1999 (aged 26),JS Kabylie,0
Ramiz Zerrouki,Algérie,MF,26 May 1998 (aged 27),Twente,3
Riyad Mahrez,Algérie,MF,21 February 1991 (aged 34),Al-Ahli,33
Himad Abdelli,Algérie,MF,17 November 1999 (aged 26),Angers,0
Baghdad Bounedjah,Algérie,FW,24 November 1991 (aged 34),Al-Shamal,35
Ismaël Bennacer,Algérie,MF,1 December 1997 (aged 28),Dinamo Zagreb,3
Anis Hadj Moussa,Algérie,FW,11 February 2002 (aged 23),Feyenoord,0
Monsef Bakrar,Algérie,FW,13 January 2001 (aged 24),Dinamo Zagreb,0
Jaouen Hadjam,Algérie,DF,26 March 2003 (aged 22),Young Boys,3
Hicham Boudaoui,Algérie,MF,23 September 1999 (aged 26),Nice,0
Rayan Aït-Nouri,Algérie,DF,6 June 2001 (aged 24),Manchester City,0
Oussama Benbot,Algérie,GK,11 October 1994 (aged 31),USM Alger,0
Farès Chaïbi,Algérie,MF,28 November 2002 (aged 23),Eintracht Frankfurt,2
Mohamed Amoura,Algérie,FW,9 May 2000 (aged 25),VfL Wolfsburg,19
Adem Zorgane,Algérie,MF,6 January 2000 (aged 25),Union SG,1
Youcef Atal,Algérie,DF,17 May 1996 (aged 29),Al-Sadd,2
Ramy Bensebaini,Algérie,DF,16 April 1995 (aged 30),Borussia Dortmund,7
Ibrahim Maza,Algérie,MF,24 November 2005 (aged 20),Bayer Leverkusen,0
Luca Zidane,Algérie,GK,13 May 1998 (aged 27),Granada,0
Ilan Kebbal,Algérie,MF,10 July 1998 (aged 27),Paris FC,0
Rafik Belghali,Algérie,DF,7 June 2002 (aged 23),Hellas Verona,0
Samir Chergui,Algérie,DF,6 February 1999 (aged 26),Paris FC,0
Adil Boulbina,Algérie,MF,2 May 2003 (aged 22),Al-Duhail,5
Redouane Berkane,Algérie,FW,7 July 2003 (aged 22),Al-Wakrah,2
Farid Ouédraogo,Burkina Faso,GK,26 December 1996 (aged 28),Al Hilal,0
Lassina Traoré,Burkina Faso,FW,12 January 2001 (aged 24),Shakhtar Donetsk,12
Abdoul Ayinde,Burkina Faso,DF,17 July 2005 (aged 20),Gent,0
Adamo Nagalo,Burkina Faso,DF,22 September 2002 (aged 23),PSV Eindhoven,0
Nasser Djiga,Burkina Faso,DF,15 November 2002 (aged 23),Rangers,1
Mohamed Zougrana,Burkina Faso,MF,29 October 2001 (aged 24),MC Alger,2
Dango Ouattara,Burkina Faso,FW,11 February 2002 (aged 23),Brentford,12
Cedric Badolo,Burkina Faso,MF,4 November 1998 (aged 27),Spartak Trnava,0
Issa Kaboré,Burkina Faso,DF,12 May 2001 (aged 24),Wrexham,2
Bertrand Traoré,Burkina Faso,FW,6 September 1995 (aged 30),Sunderland,21
Ousseni Bouda,Burkina Faso,FW,28 April 2000 (aged 25),San Jose Earthquakes,2
Edmond Tapsoba,Burkina Faso,DF,2 February 1999 (aged 26),Bayer Leverkusen,3
Mohamed Konaté*,Burkina Faso,FW,12 December 1997 (aged 28),Akhmat Grozny,6
Issoufou Dayo,Burkina Faso,DF,6 August 1991 (aged 34),Umm Salal,9
Abdoul Yoda*,Burkina Faso,MF,20 December 2000 (aged 25),Milsami Orhei,0
Hervé Koffi,Burkina Faso,GK,16 October 1996 (aged 29),Angers,0
Stephane Aziz Ki,Burkina Faso,MF,6 March 1996 (aged 29),Wydad AC,3
Ismahila Ouédraogo,Burkina Faso,MF,5 November 1999 (aged 26),OB,0
Georgi Minoungou,Burkina Faso,FW,25 July 2002 (aged 23),Seattle Sounders,0
Gustavo Sangaré,Burkina Faso,MF,8 November 1996 (aged 29),Noah,2
Cyriaque Irié,Burkina Faso,FW,20 June 2005 (aged 20),SC Freiburg,2
Blati Touré,Burkina Faso,MF,4 August 1994 (aged 31),Pyramids,3
Kilian Nikiema,Burkina Faso,GK,22 June 2003 (aged 22),ADO Den Haag,0
Saïdou Simporé,Burkina Faso,MF,31 August 1992 (aged 33),National Bank of Egypt,1
Steeve Yago,Burkina Faso,DF,16 December 1992 (aged 33),Aris Limassol,1
Arsène Kouassi,Burkina Faso,DF,11 September 2004 (aged 21),Lorient,0
Pierre Landry Kaboré,Burkina Faso,FW,5 July 2001 (aged 24),Heart of Midlothian,6
Josué Tiendrébéogo*,Burkina Faso,MF,21 November 2002 (aged 23),Annecy,2
Jesús Owono,Guinée équatoriale,GK,1 March 2001 (aged 24),FC Andorra,0
Néstor Senra,Guinée équatoriale,DF,4 January 2002 (aged 23),Recreativo,0
Marvin Anieboh,Guinée équatoriale,DF,26 August 1997 (aged 28),SS Reyes,0
Álex Balboa,Guinée équatoriale,MF,6 March 2001 (aged 24),Lugo,0
Omar Mascarell,Guinée équatoriale,MF,2 February 1993 (aged 32),Mallorca,0
Iban Salvador,Guinée équatoriale,FW,11 December 1995 (aged 30),Wisła Płock,10
José Machín,Guinée équatoriale,MF,14 August 1996 (aged 29),Vis Pesaro,0
Jannick Buyla,Guinée équatoriale,MF,6 October 1998 (aged 27),Numancia,3
Dorian Jr.,Guinée équatoriale,FW,12 May 2001 (aged 24),Viborg,1
Emilio Nsue,Guinée équatoriale,FW,30 September 1989 (aged 36),Intercity,22
Basilio Ndong,Guinée équatoriale,DF,17 January 1999 (aged 26),Tirana,0
Charles Ondo,Guinée équatoriale,DF,22 October 2003 (aged 22),Portland Timbers,0
Aitor Embela,Guinée équatoriale,GK,17 April 1996 (aged 29),Soneja,0
Pedro Obiang,Guinée équatoriale,MF,27 March 1992 (aged 33),Monza,3
Carlos Akapo,Guinée équatoriale,DF,12 March 1993 (aged 32),Amazonas,2
Saúl Coco,Guinée équatoriale,DF,9 February 1999 (aged 26),Torino,4
Josete Miranda,Guinée équatoriale,FW,22 July 1998 (aged 27),Kalamata,4
Michael Ngaah,Guinée équatoriale,DF,10 April 2003 (aged 22),Ávila,0
Luís Asué,Guinée équatoriale,FW,9 July 2001 (aged 24),Shanghai Shenhua,5
Santiago Eneme,Guinée équatoriale,MF,29 September 2000 (aged 25),Sparta Prague,0
Esteban Obiang,Guinée équatoriale,DF,7 May 1998 (aged 27),Argeș Pitești,1
Pablo Ganet,Guinée équatoriale,MF,4 November 1994 (aged 31),Persita Tangerang,6
Manuel Sapunga,Guinée équatoriale,GK,23 November 1992 (aged 33),Sekhukhune United,0
Loren Zúñiga,Guinée équatoriale,FW,18 January 2003 (aged 22),Real Madrid,0
Javier Mum,Guinée équatoriale,DF,24 January 2001 (aged 24),MUZA,0
José Nabil Ondo,Guinée équatoriale,FW,23 November 2005 (aged 20),Nantes,1
Gael Joel Akogo,Guinée équatoriale,MF,21 December 2003 (aged 22),Granada,0
Álex Masogo,Guinée équatoriale,MF,26 January 2001 (aged 24),Beroe,1
Ali Abu Eshrein,Sudan,GK,6 December 1989 (aged 36),Al Hilal,0
Abuaagla Abdalla,Sudan,MF,11 March 1993 (aged 32),Al-Ahly Benghazi,3
Mohamed Ering,Sudan,DF,20 October 1997 (aged 28),Al Hilal,0
Altayeb Abdelrazeg,Sudan,DF,6 September 1991 (aged 34),Al Hilal,1
Walieldin Khedr,Sudan,MF,15 September 1995 (aged 30),Al Hilal,3
Mustafa Karshoum,Sudan,DF,6 December 1992 (aged 33),Al Hilal,1
Yaser Awad,Sudan,DF,15 March 2005 (aged 20),Al Hilal,1
Abdel Raouf,Sudan,MF,18 July 1993 (aged 32),Al Hilal,4
Yaser Muzmel,Sudan,FW,1 January 1992 (aged 33),Al Hilal,8
Mohamed Abdelrahman,Sudan,FW,10 July 1993 (aged 32),Al Hilal,23
John Mano,Sudan,FW,12 December 2001 (aged 24),Al-Akhdar,0
Bakhit Khamis,Sudan,DF,1 January 1994 (aged 31),Al-Ahli Tripoli,0
Ammar Taifour,Sudan,MF,12 April 1997 (aged 28),CS Sfaxien,0
Mohamed Eisa,Sudan,FW,12 July 1994 (aged 31),Uthai Thani,2
Salah Adel,Sudan,MF,3 April 1995 (aged 30),Al Hilal,1
Muhamed Alnour Abouja,Sudan,GK,1 January 2000 (aged 25),Al-Merrikh,0
Mazin Mohamedein,Sudan,DF,2 May 2000 (aged 25),Al-Akhdar,0
Awad Zayed,Sudan,DF,1 January 1993 (aged 32),Al-Merrikh,0
Ahmed Tabanja,Sudan,DF,2 September 2000 (aged 25),Al-Merrikh,0
Abo Eisa,Sudan,FW,5 January 1996 (aged 29),Chonburi,1
Munjed Alnil,Sudan,GK,1 January 1996 (aged 29),Al Merreikh,0
Al-Jezoli Nouh,Sudan,FW,24 October 2002 (aged 23),Al-Ahli Tripoli,1
Abdelsamad Manen,Sudan,MF,4 May 2005 (aged 20),Al-Zamala SC,0
Muhamed Kesra,Sudan,DF,25 October 1996 (aged 29),Jamus,0
Sheddy Barglan,Sudan,DF,3 October 2002 (aged 23),Den Bosch,0
Aamir Abdallah,Sudan,FW,8 May 1999 (aged 26),Avondale,0
Muhamed Tia Asad,Sudan,FW,21 February 2001 (aged 24),Al-Merrikh,1
Simon Omossola,Cameroun,GK,5 May 1998 (aged 27),Saint-Éloi Lupopo,0
Junior Tchamadeu,Cameroun,DF,22 December 2003 (aged 21),Stoke City,0
Che Malone,Cameroun,DF,23 May 1999 (aged 26),USM Alger,0
Christopher Wooh,Cameroun,DF,18 September 2001 (aged 24),Spartak Moscow,2
Nouhou Tolo,Cameroun,DF,23 June 1997 (aged 28),Seattle Sounders,1
Gerzino Nyamsi,Cameroun,DF,22 January 1997 (aged 28),Lokomotiv Moscow,0
Georges-Kévin Nkoudou,Cameroun,FW,14 February 1995 (aged 30),Diriyah,3
Jean Onana,Cameroun,MF,8 January 2000 (aged 25),Genoa,0
Frank Magri,Cameroun,FW,4 September 1999 (aged 26),Toulouse,2
Bryan Mbeumo,Cameroun,FW,7 August 1999 (aged 26),Manchester United,7
Christian Bassogog,Cameroun,FW,18 October 1995 (aged 30),Al-Okhdood,8
Patrick Soko,Cameroun,FW,31 October 1997 (aged 28),Almería,1
Darlin Yongwa,Cameroun,DF,21 September 2000 (aged 25),Lorient,1
Danny Namaso,Cameroun,FW,28 August 2000 (aged 25),Auxerre,0
Arthur Avom,Cameroun,MF,15 December 2004 (aged 21),Lorient,1
Devis Epassy,Cameroun,GK,2 February 1993 (aged 32),Dinamo București,0
Samuel Kotto,Cameroun,DF,3 September 2003 (aged 22),Gent,0
Aboubakar Nagida,Cameroun,DF,28 June 2005 (aged 20),Rennes,0
Martin Ndzie,Cameroun,MF,16 January 2003 (aged 22),Rapid Wien,0
Olivier Kemen,Cameroun,MF,20 July 1996 (aged 29),İstanbul Başakşehir,1
Karl Etta Eyong,Cameroun,FW,14 October 2003 (aged 22),Levante,0
Flavien Enzo Boyomo,Cameroun,DF,7 October 2001 (aged 24),Osasuna,1
Simon Ngapandouetnbu,Cameroun,GK,12 April 2003 (aged 22),Montpellier,0
Carlos Baleba,Cameroun,MF,3 January 2004 (aged 21),Brighton & Hove Albion,0
Éric Junior Dina Ebimbe,Cameroun,MF,21 November 2000 (aged 25),Brest,0
Christian Kofane,Cameroun,FW,27 July 2006 (aged 19),Bayer Leverkusen,0
Arnold Maël Kamdem,Cameroun,MF,18 January 2000 (aged 25),Sport Sinop,0
Edouard Sombang,Cameroun,GK,29 May 1998 (aged 27),Colombe Sportive,0
Anse Ngoubi Demba,Gabon,GK,31 January 2000 (aged 25),Mosta,0
Aaron Appindangoyé,Gabon,DF,20 February 1992 (aged 33),Sivasspor,2
Anthony Oyono,Gabon,DF,12 April 2001 (aged 24),Frosinone,0
Alex Moucketou-Moussounda,Gabon,DF,10 October 2000 (aged 25),Aris Limassol,1
Bruno Ecuele Manga,Gabon,DF,16 July 1988 (aged 37),Paris 13 Atletico,9
Johann Obiang,Gabon,DF,5 July 1993 (aged 32),Orléans,0
Royce Openda,Gabon,FW,21 April 2002 (aged 23),Bordeaux,0
Clench Loufilou,Gabon,MF,12 April 1999 (aged 26),Al-Minaa,0
Pierre-Emerick Aubameyang,Gabon,FW,18 June 1989 (aged 36),Marseille,38
Shavy Babicka,Gabon,FW,1 June 2000 (aged 25),Red Star Belgrade,3
Jim Allevinah,Gabon,FW,27 February 1995 (aged 30),Angers,10
Guélor Kanga,Gabon,MF,1 August 1990 (aged 35),Esenler Erokspor,5
Mick Omfia,Gabon,DF,10 December 2000 (aged 25),Hafia,0
Urie-Michel Mboula,Gabon,DF,30 April 2003 (aged 22),Metz,0
Samaké Nzé Bagnama,Gabon,MF,28 June 2002 (aged 23),Stade d'Abidjan,0
François Bekale,Gabon,GK,15 February 2002 (aged 23),Hafia,0
André Biyogo Poko,Gabon,MF,7 March 1993 (aged 32),Amed,4
Mario Lemina,Gabon,MF,1 September 1993 (aged 32),Galatasaray,5
Jacques Ekomié,Gabon,DF,19 August 2003 (aged 22),Angers,0
Denis Bouanga,Gabon,FW,11 November 1994 (aged 31),Los Angeles FC,15
Jérémy Oyono,Gabon,DF,12 April 2001 (aged 24),Frosinone,0
Didier Ndong,Gabon,MF,17 June 1994 (aged 31),Esteghlal,1
Loyce Mbaba,Gabon,GK,4 May 1998 (aged 27),Stella Club,0
Edlin Randy Essang-Matouti,Gabon,FW,25 July 2003 (aged 22),USM Khenchela,0
Eric Bocoum,Gabon,MF,10 March 1996 (aged 29),Gol Gohar Sirjan,0
Jonathan Do Marcolino,Gabon,DF,10 May 2006 (aged 19),Bourg-Péronnas,0
Teddy Averlant,Gabon,FW,2 October 1999 (aged 26),Amiens,0
Malick Evouna,Gabon,FW,28 November 1992 (aged 33),Mangasport,12
Yahia Fofana,Côte d'Ivoire,GK,21 August 2000 (aged 25),Çaykur Rizespor,0
Ousmane Diomande,Côte d'Ivoire,DF,4 December 2003 (aged 22),Sporting CP,1
Ghislain Konan,Côte d'Ivoire,DF,27 December 1995 (aged 29),Gil Vicente,0
Jean Michaël Seri,Côte d'Ivoire,MF,19 July 1991 (aged 34),Maribor,4
Armel Zohouri,Côte d'Ivoire,DF,5 April 2001 (aged 24),Iberia 1999,0
Seko Fofana,Côte d'Ivoire,MF,7 May 1995 (aged 30),Rennes,7
Odilon Kossounou,Côte d'Ivoire,DF,4 January 2001 (aged 24),Atalanta,0
Franck Kessié,Côte d'Ivoire,MF,19 December 1996 (aged 29),Al-Ahli,15
Vakoun Issouf Bayo,Côte d'Ivoire,FW,10 January 1997 (aged 28),Udinese,3
Wilfried Zaha,Côte d'Ivoire,FW,10 November 1992 (aged 33),Charlotte FC,5
Jean-Philippe Krasso,Côte d'Ivoire,FW,17 July 1997 (aged 28),Paris FC,8
Willy Boly,Côte d'Ivoire,DF,3 February 1991 (aged 34),Nottingham Forest,1
Christopher Opéri,Côte d'Ivoire,DF,29 April 1997 (aged 28),İstanbul Başakşehir,0
Oumar Diakité,Côte d'Ivoire,FW,20 December 2003 (aged 22),Cercle Brugge,6
Amad Diallo,Côte d'Ivoire,FW,11 July 2002 (aged 23),Manchester United,2
Mohamed Koné,Côte d'Ivoire,GK,7 March 2002 (aged 23),Charleroi,0
Guéla Doué,Côte d'Ivoire,DF,17 October 2002 (aged 23),Strasbourg,1
Ibrahim Sangaré,Côte d'Ivoire,MF,2 December 1997 (aged 28),Nottingham Forest,12
Christ Inao Oulaï,Côte d'Ivoire,MF,6 April 2006 (aged 19),Trabzonspor,0
Emmanuel Agbadou,Côte d'Ivoire,DF,7 June 1997 (aged 28),Wolverhampton Wanderers,2
Evan Ndicka,Côte d'Ivoire,DF,20 August 1999 (aged 26),Roma,0
Evann Guessand,Côte d'Ivoire,FW,1 July 2001 (aged 24),Aston Villa,2
Alban Lafont,Côte d'Ivoire,GK,23 January 1999 (aged 26),Panathinaikos,0
Bazoumana Touré,Côte d'Ivoire,FW,2 March 2006 (aged 19),TSG Hoffenheim,0
Jean-Philippe Gbamin,Côte d'Ivoire,MF,25 September 1995 (aged 30),Metz,0
Yan Diomande,Côte d'Ivoire,FW,14 November 2006 (aged 19),RB Leipzig,2
Ernan Siluane,Mozambique,GK,9 July 1998 (aged 27),Black Bulls,0
Nanani,Mozambique,DF,8 February 1996 (aged 29),Songo,0
Nené,Mozambique,DF,15 November 1996 (aged 29),Black Bulls,1
Fernando Chamboco,Mozambique,DF,15 June 1998 (aged 27),Black Bulls,0
Bruno Langa,Mozambique,DF,31 October 1997 (aged 28),Pafos,1
Manuel Kambala,Mozambique,MF,21 August 1991 (aged 34),Polokwane City,0
Domingues,Mozambique,MF,13 November 1983 (aged 42),Songo,17
Edmilson Dove,Mozambique,DF,18 July 1994 (aged 31),Al-Quwa Al-Jawiya,0
Faisal Bangal,Mozambique,FW,5 January 1995 (aged 30),Mestre,2
Geny Catamo,Mozambique,FW,26 January 2001 (aged 24),Sporting CP,13
João Bonde,Mozambique,MF,9 January 1997 (aged 28),Ferroviário Beira,0
Kimiss Zavala,Mozambique,GK,8 May 2004 (aged 21),Marítimo,0
Stanley Ratifo,Mozambique,FW,5 December 1994 (aged 31),Chemie Leipzig,9
Oscar Cherene,Mozambique,DF,28 March 2003 (aged 22),Textáfrica,0
Reinildo Mandava,Mozambique,DF,21 January 1994 (aged 31),Sunderland,2
Alfons Amade,Mozambique,MF,12 November 1999 (aged 26),Dunfermline Athletic,1
Mexer,Mozambique,DF,8 September 1987 (aged 38),Ankara Keçiörengücü,3
Gildo Vilanculos,Mozambique,FW,31 January 1995 (aged 30),Tadamon Sour,4
Witi,Mozambique,FW,26 August 1996 (aged 29),Nacional,4
Keyns Abdala,Mozambique,MF,15 March 2003 (aged 22),Chaves,0
Guima,Mozambique,MF,14 November 1995 (aged 30),Zira,2
Ivane Urrubal,Mozambique,GK,1 March 1997 (aged 28),Songo,0
Diogo Calila,Mozambique,DF,10 October 1998 (aged 27),Santa Clara,0
Melque Alexandre,Mozambique,FW,26 June 1997 (aged 28),Songo,4
Chamito,Mozambique,FW,14 January 2004 (aged 21),Académico Viseu,3
Ângelo Cantolo*,Mozambique,FW,23 May 2003 (aged 22),Chingale,0
Clésio*,Mozambique,FW,11 October 1994 (aged 31),Black Bulls,9
Shaquille*,Mozambique,MF,24 November 1997 (aged 28),Sagrada Esperança,0
